Date,open,high,low,close,volume,average,close_shift,daily_change
2020-03-23,21.07,22.73,19.73,22.4,47787094,21.735,,
2020-03-24,24.41,26.84,23.59,26.39,58505016,25.4,22.4,17.812500000000007
2020-03-25,26.18,28.45,25.3104,26.19,52473945,26.185000000000002,26.39,-0.7578628268283372
2020-03-26,26.6,28.44,25.78,28.12,41370842,27.36,26.19,7.369224894998094
2020-03-27,25.82,28.03,25.07,27.28,40292212,26.55,28.12,-2.987197724039825
2020-03-30,26.33,28.39,25.31,27.83,37725659,27.08,27.28,2.0161290322580516
2020-03-31,27.75,28.25,26.92,27.92,43126370,27.835,27.83,0.3233920229967824
2020-04-01,26.5,26.767,24.8101,25.42,38538381,25.96,27.92,-8.954154727793695
2020-04-02,25.01,25.2,23.0,23.68,35838237,24.345,25.42,-6.845003933910309
2020-04-03,23.73,23.79,21.67,22.82,40572024,23.275,23.68,-3.6317567567567544
2020-04-06,24.13,26.09,23.93,25.99,34692625,25.06,22.82,13.891323400525856
2020-04-07,27.95,28.11,25.5,25.74,36433762,26.845,25.99,-0.9619084263178146
2020-04-08,26.0,27.8781,25.79,26.94,36166872,26.47,25.74,4.662004662004682
2020-04-09,27.88,28.89,26.46,27.11,36190207,27.494999999999997,26.94,0.6310319227913919
2020-04-13,27.04,28.08,26.47,27.99,24671570,27.515,27.11,3.2460346735522005
2020-04-14,28.0,28.77,27.013,27.75,32625332,27.875,27.99,-0.8574490889603381
2020-04-15,26.82,27.79,26.44,27.41,18720881,27.115000000000002,27.75,-1.2252252252252238
2020-04-16,27.21,28.05,26.46,27.03,24088739,27.12,27.41,-1.3863553447646781
2020-04-17,28.69,28.79,27.26,28.0,34129827,28.345,27.03,3.588605253422128
2020-04-20,27.07,28.76,26.9,28.19,32224037,27.630000000000003,28.0,0.6785714285714395
2020-04-21,27.5,28.15,26.6,27.19,20969116,27.345,28.19,-3.5473572188719382
2020-04-22,27.97,28.56,27.51,28.24,21222358,28.104999999999997,27.19,3.8617138653916694
2020-04-23,28.75,29.25,28.2414,28.33,26992375,28.54,28.24,0.31869688385268713
2020-04-24,28.51,29.59,28.14,29.49,20648859,29.0,28.33,4.094599364631124
2020-04-27,29.74,30.49,29.4112,30.08,31705827,29.909999999999997,29.49,2.000678195998651
2020-04-28,31.0,31.83,29.36,30.12,27383197,30.560000000000002,30.08,0.13297872340425343
2020-04-29,31.0,32.0,30.33,31.37,28288120,31.185000000000002,30.12,4.150066401062413
2020-04-30,30.5,31.05,29.75,30.27,20095396,30.384999999999998,31.37,-3.5065349059611117
2020-05-01,29.13,29.72,28.325,28.39,19290192,28.759999999999998,30.27,-6.21076973901552
2020-05-04,27.56,28.07,26.58,27.42,23428333,27.490000000000002,28.39,-3.4166960197252516
2020-05-05,28.25,28.9088,27.44,28.07,30725371,28.16,27.42,2.370532458059804
2020-05-06,27.5,28.06,26.81,27.82,31076451,27.66,28.07,-0.8906305664410419
2020-05-07,29.6,31.65,29.58,30.93,62229496,30.265,27.82,11.179007907979877
2020-05-08,32.59,33.3,31.64,32.79,69525793,32.69,30.93,6.013579049466533
2020-05-11,31.98,32.385,31.41,31.64,26439191,31.810000000000002,32.79,-3.5071668191521743
2020-05-12,31.42,34.45,30.41,32.4,89585967,31.91,31.64,2.402022756005051
2020-05-13,32.3,33.06,30.83,33.02,47279487,32.66,32.4,1.9135802469135932
2020-05-14,32.53,33.0399,31.24,32.79,32912581,32.66,33.02,-0.6965475469412619
2020-05-15,32.26,32.89,31.59,32.47,25949971,32.364999999999995,32.79,-0.9759072888075648
2020-05-18,33.7,36.0,32.99,33.62,47561742,33.66,32.47,3.541730828457035
2020-05-19,33.68,34.0,32.86,33.4,20223567,33.54,33.62,-0.6543723973825077
2020-05-20,34.12,34.77,33.82,34.48,21386703,34.3,33.4,3.233532934131733
2020-05-21,34.45,35.01,33.47,34.26,24075308,34.355000000000004,34.48,-0.6380510440835208
2020-05-22,34.15,34.93,33.57,34.83,18675675,34.489999999999995,34.26,1.6637478108581405
2020-05-26,35.97,36.0,34.5,34.56,23483218,35.265,34.83,-0.7751937984496027
2020-05-27,34.42,35.0,33.1,34.88,27514553,34.650000000000006,34.56,0.92592592592593
2020-05-28,34.9,35.1,33.82,34.15,21959579,34.525,34.88,-2.0928899082568897
2020-05-29,34.18,36.45,34.0,36.32,72422927,35.25,34.15,6.354319180087864
2020-06-01,35.64,36.39,35.16,35.82,21893806,35.730000000000004,36.32,-1.3766519823788514
2020-06-02,36.16,36.42,35.26,35.81,19328415,35.985,35.82,-0.02791736460077132
2020-06-03,36.2,37.3678,36.14,36.75,23051776,36.475,35.81,2.6249650935492808
2020-06-04,36.42,37.3,36.28,36.43,17423577,36.425,36.75,-0.8707482993197235
2020-06-05,37.53,38.7825,36.92,37.21,30393429,37.370000000000005,36.43,2.141092506176223
2020-06-08,37.87,37.9,36.09,37.08,30099525,37.474999999999994,37.21,-0.3493684493415805
2020-06-09,36.7,37.33,36.25,36.59,15127269,36.645,37.08,-1.321467098166118
2020-06-10,36.69,36.8,34.265,34.83,43473719,35.76,36.59,-4.810057392730272
2020-06-11,32.63,33.245,30.8904,31.1,45298714,31.865000000000002,34.83,-10.709158771174266
2020-06-12,32.73,32.74,31.04,32.24,27685169,32.485,31.1,3.665594855305465
2020-06-15,31.16,32.68,31.0201,32.67,21350290,31.915,32.24,1.3337468982630218
2020-06-16,34.0,34.17,32.43,33.49,21377119,33.745000000000005,32.67,2.5099479644934197
2020-06-17,33.5,33.595,33.011,33.29,14827742,33.394999999999996,33.49,-0.5971931919976248
2020-06-18,33.0,33.44,32.8,33.4,15495838,33.2,33.29,0.3304295584259487
2020-06-19,33.98,34.02,32.27,32.3,29426285,33.14,33.4,-3.293413173652704
2020-06-22,32.43,32.85,31.43,32.68,17790276,32.555,32.3,1.1764705882353121
2020-06-23,32.88,33.21,32.5901,33.05,13622126,32.965,32.68,1.1321909424724552
2020-06-24,32.75,32.93,30.455,30.46,29477229,31.605,33.05,-7.836611195158838
2020-06-25,30.0,30.855,29.56,30.58,19142789,30.29,30.46,0.3939592908732692
2020-06-26,30.44,30.44,29.2099,29.61,46482331,30.025,30.58,-3.1720078482668335
2020-06-29,29.51,29.75,28.39,29.63,20795402,29.57,29.61,0.06754474839580915
2020-06-30,30.83,31.25,30.13,31.08,21282810,30.955,29.63,4.893688828889631
2020-07-01,30.96,31.265,30.1622,30.43,13611544,30.695,31.08,-2.091377091377089
2020-07-02,31.02,31.57,30.51,30.68,14981137,30.85,30.43,0.8215576733486607
2020-07-06,33.1,33.2,31.76,32.52,42392222,32.81,30.68,5.997392438070426
